,data_clean,created_at,location,sentimen
1505,komisi berantas korupsi ada orang tangkap operasi tangkap tangan ott kait duga korupsi lingkung perintah provinsi malu utara salah satu gubernur malu utara abdul gani kasuba,2023-12-20,NKRI,Positif
1506,hadir saksi duga korupsi perkeretaapian dukung upayaupaya dukung komitmen berantas korupsi budi komisi berantas korupsi jakarta rabu,2023-07-27,,Negatif
1507,kabag berita komisi berantas korupsi ali fikri beber gamblang duga korupsi usut,2023-06-15,,Negatif
1508,akibat duga korupsi ekspor cpo langka mahal harga minyak goreng daerah,2023-07-25,,Negatif
1509,jaksa agung sita kilogram logam mulia duga korupsi komoditi emas,2023-12-30,Indonesia,Positif
1510,duga korupsi rsud syekh yusuf gowa gulir kasih pidsusbpk hitung rugi negara,2023-12-28,,Negatif
1511,al yasin ali ganti abdul gani kasuba tetap sangka duga korupsi komisi berantas korupsi komisi berantas korupsi,2023-12-23,Jakarta,Positif
1512,eks kades bukit oki tetap sangka duga korupsi rupiah mantan kades bukit batu oki inisial kakak sangka penyalahgunaan kelola dapat asli desa rugi negara rupiah miliar,2023-12-24,,Positif
1513,komisi berantas korupsi tetap puluh orang sangka langsung tahan duga korupsi proyek bangun baik rel kereta api jawa sumatra sulawesi,2023-07-14,,Positif
1514,korupsi dana insentif covid oknum dokter beltim sangka kejar beltim tetap salah dokter inisial rd sangka duga korupsi dana tunjang insentif covid gtgt via,2023-12-22,,Positif
1515,ketua nonaktif komisi berantas korupsi komisi berantas korupsi firli bahuri gedung badan reserse kriminal markas besar polisi republik indonesia jalan periksa lanjut duga peras eks menteri tani syahrul yasin limpo syl rabu lt,2023-12-27,Jakarta,Positif
1516,komisi berantas korupsi saran benah pulih citra lembaga coreng akibat duga korupsi ketua nonaktif firli bahuri wakil presiden maruf amin tanggap putus dewas komisi berantas korupsi firli bahuri lt,2023-12-29,Jakarta,Positif
1517,karen jokowi boediono saksi duga korupsi lng,2023-12-30,,Negatif
1518,wakil ketua komisi berantas korupsi komisi berantas korupsi johan tanak sebut pertanggungjawaban pidana duga korupsi mantan gubernur papua lukas enembe tinggal dunia lt,2023-12-26,Jakarta,Negatif
1519,duga korupsi dana hibah komite olahraga nasional indonesia koni lampung pasuk babak ada urus sangka,2023-12-28,,Positif
1520,kejat lampung resmi tetap orang inisial fn an sangka duga korupsi dana hibah koni lampung anggar,2023-12-28,,Positif
1521,jaksa kejat lampung simpang duga korupsi komite olahraga nasional indonesia koni lampung anggar,2023-12-29,,Positif
1522,main top eropa beli hasil transaksi janggal duga libat ratus pegawai menteri uang nila triliun rupiah simak daftar lengkap,2023-04-04,Indonesia,Positif
1523,komisi berantas korupsi geledah kantor wali kota semarang hevearita gunaryanti rahayu rabu waktu indonesia bagi barat geledah sidik komisi berantas korupsi duga kait duga korupsi gratifikasi pungut fee proyek tunjuk langsung pl perintah kota,2024-07-17,,Negatif
1524,aktris sandra dewi protes jaksa agung sita tas mewah barang bukti duga korupsi harvey moeis korupsi tata niaga timah wilayah izin usaha tambang pt timah tbk tastas hasil keringat sekolah dasar sandra,2024-07-23,,Positif
1525,tidak temu orang ketangkep duga korupsi pon acehsumatera utara kaget sih bobrok infrastruktur pon kali tidak sekali bilang tidak ada korupsi ada jadi mirip,2024-09-18,Japan,Negatif
1526,desa periksa oknum hakim maming tinjau mardani maming muncul duga kuat mafia adil komite rakyat anti korupsi keras desak komisi berantas korupsi periksa oknum hakim duga libat sidang,2024-09-14,,Negatif
1527,pon dibully sharing acehsumut harmoni tuding duga korupsi fasilitas jatah makan anggap anggap culas wasit pingsan bogem keras catat demokrasi live jam malam waktu indonesia bagi barat tvone,2024-09-17,Indonesia,Negatif
1528,pon dibully sharing acehsumut harmoni tuding duga korupsi fasilitas jatah makan anggap anggap culas wasit pingsan bogem keras catat demokrasi live jam malam waktu indonesia bagi barat tvone,2024-09-17,Indonesia,Negatif
1529,mantan menteri sosial khofifah indar parawansa lapor komisi berantas korupsi duga korupsi program verifikasi validasi kemensos lapor forum komunikasi masyarakat sipil fkms barusan dapat audit rugi proyek,2024-06-05,,Negatif
1530,masyarakat tuju komisi berantas korupsi menindaklanjuti duga korupsi kakak cak imin kait dana hibah jawa timur,2024-09-13,,Positif
1531,sidik jaksa agung muda tindak pidana khusus jampidsus tetap crazy rich helena lim yamg manajer pt qse sangka perkara duga korupsi tata niaga timah wilayah izin usaha tambang izin usaha tambang pt timah tbk helena,2024-03-27,Jakarta Capital Region,Positif
1532,komisi berantas korupsi mengeledah rumah mendes abdul halim kakak cak imin duga korupsi kait dana hibah jawa timur,2024-09-13,,Positif
1533,eks ketua dewan wakil rakyat daerah adu panggil aparat tegak hukum duga pimpin korupsi anggar dapat dan belanja daerah jemaah panggil peras jadi sangka sangka foto kaya asetasetnya plus isteri simpan,2024-01-19,Jakarta,Negatif
1534,jombang iman oknum bumdnya iman pusat daerah badan usaha digerogotin koruptor jaksa negeri jombang usut duga korupsi kredit dana gulir nila rupiah miliar aju perumda kebun panglungan jombang,2024-09-10,Indonesia,Positif
1535,anak bungsu presiden joko widodo kaesang pangarep klarifikasi kait duga gratifikasi jet pribadi pimpin komisi berantas korupsi komisi berantas korupsi nyata hukum gratifikasi,2024-09-02,,Positif
1536,duga korupsi dana pon xxi menpora tuduh dasar,2024-09-14,Jakarta,Positif
1537,hot news nah loh direktur utama pt bukaka periksa jaksa agung kait korupsi tol mbz damn duga korupsi proyek bangun tol syekh mohammed bin zayed mbz lanjut jaksa agung periksa ik direktur utama pt bukaka teknik utama,2024-09-05,Jakarta Capital Region,Positif
1538,ubaidillah bongkar duga korupsi keluarga mulyono,2024-09-14,multiverse,Negatif
1539,faisal basri duga korupsi ekspor ilegal bijih nikel rugi negara puluh triliun blok medan mantan ketua umum golkar beliau dasar informasi,2024-09-05,Warteg,Positif
1540,komisi berantas korupsi tetap bupati sidoarjo ahmad muhdlor ali alias gus muhdlor sangka duga korupsi potong terima insentif aparatur sipil negara aparatur sipil negara lingkung badan layan pajak daerah bppd gus muhdlor tahan komisi berantas korupsi,2024-05-08,,Negatif
1541,jaksa agung periksa aktris istri harvey moeis saksi duga korupsi tata niaga timah wilayah izin usaha tambang izin usaha tambang pt timah sandra dewi gedung kartika jaksa agung waktu indonesia bagi barat doa ya sandra,2024-04-04,,Positif
1542,pusat lapor analisis transaksi uang ppatk endus duga tindak pidana korupsi proyek strategis nasional play station network kepala ppatk ivan yustiavandana persen total dana play station network masuk rekening subkontraktor giat operasional,2024-01-11,,Positif
1543,anggar bancak anggar digerogotin rusak bangsa korupsi jaksa sumatra utara tetap sangka duga tindak pidana korupsi dana bok dana ringan beban masyarakat biaya layan sehat puskesmas,2024-09-10,Indonesia,Positif
1544,bilang tidak tidak tidak pikir situ baca deh saksi dindo bibi bu ayun kait duga korupsi timpa syahrul yasin limpo wdyt,2024-05-28,,Negatif
1545,anak presiden jokowi kaesang pangarep sorot duga gratifikasi guna jet pribadi sangka duga korupsi anak presiden kali dosen universitas negeri jakarta ubedilah badrun ungkap aku,2024-09-15,lokalisasi kelas teri,Positif
1546,sidik komisi berantas korupsi temu dokumen mobil duga milik harun mas sangka buron duga suap kait urus ganti antarawaktu paw anggota dewan wakil rakyat partai demokrasi indonesia juang mobil,2024-09-13,Jakarta Capital Region,Positif
1547,bau busuk gas air mata duga korupsi duga polisi republik indonesia ada lontar gas air mata thread,2024-09-03,Jakarta Capital Region,Negatif
1548,komisi berantas korupsi komisi berantas korupsi geledah rumah dinas rumdin menteri desa bangun daerah tinggal transmigrasi mendes bangun daerah tinggal dan transmigrasi abdul halim iskandar ahi jumat september geledah cari bukti duga suap dana hibah pokmas,2024-09-10,,Negatif
1549,jaksa agung tetap orang sangka duga korupsi tata niaga timah wilayah izin tambang izin usaha tambang pt timah tbk orang sangka diri sriwijaya air hendry lie adik fandy lingga orang,2024-04-29,,Positif
1550,komisi berantas korupsi angkat bendera putih lambai tangan bilang takut bapak kaesang puter gangsing duga gratifikasi kaesang pangarep komisi berantas korupsi lanjut proses tangan juru bicara komisi berantas korupsi komisi berantas korupsi,2024-09-15,"Central Java, Indonesia",Negatif
1551,duga korupsi pon acehsumut kuat menpora janji laku audit,2024-09-14,Jakarta Capital Region,Positif
1552,agustus komisi berantas korupsi tetap orang sangka duga tindak pidana korupsi kait bayar komisi agen pt jasindo persero pt manajemen bas sekolah sangka sht direktur operasi ritel pt jasindo direktur,2024-08-30,"Jakarta, Indonesia",Positif
1553,isu duga gratifikasi jerat kaesang pangarep bobby nasution gulir bak bola panas komisi berantas korupsi komisi berantas korupsi jelas klarifikasi online situs komisi berantas korupsi akademisi bidang hukum,2024-09-12,Indonesia,Negatif
1554,menpora dito ariotedjo bantah duga korupsi pon xxi acehsumut,2024-09-17,"DKI Jakarta, Indonesia",Positif
1555,komisi berantas korupsi periksa sunarto duga korupsi hakim agung nila puluh miliar menindaklanjuti perkara baca berita lengkap di bawah,2024-09-14,,Positif
1556,ubedilah badrun buka bukti duga korupsi keluarga mulyono saksi lengkap youtube abraham samad speak up lupa subscribe komen like bagi,2024-09-14,Indonesia,Negatif
1557,aduh sih komisi berantas korupsi periksa sunarto kait duga korupsi nila miliar rupiah masyarakat nilai buruk,2024-09-14,masih disini,Positif
1558,jaksa agung st burhanuddin menteri uang sri mulyani ungkap ada indikasi fraud duga korupsi lembaga biaya ekspor indonesia lpei nilai rugi capai rupiah triliun usaha indikasi fraud rii rupiah triliun,2024-03-19,,Positif
1559,negeri karanganyar dalam duga korupsi tppu badan usaha milik desa berjo sangka bukti libat tindak pidana korupsi mantan dewas badan usaha milik desa berjo as tetap sangka,2024-09-17,Indonesia,Positif
1560,kaesang pangarep putra presiden joko widodo unjung komisi berantas korupsi komisi berantas korupsi klarifikasi kait duga gratifikasi kaesang rencana tanggal agustus berangkat amerika serikat,2024-09-17,Indonesia,Positif
1561,hindar potensi black kampanye koruptor kado istimewa kotak suara utas jumat lihat tebaru fufufafa jaksa agung bilang ada calon kepala daerah pilih kepala daerah sangkut libat duga korupsi ayo simak,2024-09-13,United States,Positif
1562,bilang komisi berantas korupsi wenang periksa kaesang kait duga gratifikasi coba ajar deh pasal hukum tindak pidana korupsi biar cerdas dengar jelas mantan ketua komisi berantas korupsi abraham samad yuk ajar hukum,2024-09-09,multiverse,Negatif
1563,unjuk taring jaksa agung limpah korupsi pt indofarma kejat daerah khusus ibukota utas kelola uang pt indofarma tbk resmi limpah jaksa agung kejat daerah khusus ibukota jakarta lapor duga simpang,2024-09-17,United States,Positif
1564,gus salam layan adu warga lapor urus urus besar nahdlatul ulama langgar ya lapor halim iskandar ponakan gus salam via hotline halim periksa komisi berantas korupsi duga korupsi dana hibah,2024-09-12,"DKI Jakarta, Indonesia",Positif
1565,sidang perdana korupsi irigasi perintah provinsi sulawesi selatan jaksa ungkap modus duga tindak pidana sangka saldi sub kontraktor julianus hubung,2024-09-14,Dihati mu,Positif
1566,nih calon bupati usung gerindra kebal hukum ya tetap sangka duga korupsi tahan nyalon bupati,2024-09-08,,Negatif
1567,kaesang isi formulir gratifikasi anak jabat sambang komisi berantas korupsi ketua partai solidaritas indonesia psi kaesang pangarep lapor duga terima gratifikasi komisi berantas korupsi komisi berantas korupsi kait guna fasilitas jet pribadi,2024-09-17,"Pulo Gadung, Indonesia",Positif
1568,wajar sih mahasiswa desak komisi berantas korupsi periksa sunarto ada duga korupsi capai milyar rupiah mirip patut usut tuntas,2024-09-14,Jakarta Capital Region,Positif
1569,lhoooo blok medan jokowi arah perintah tambang ilegal mejadi legal saksi duga korupsi tata niaga komoditas timah pt timah tbk singgung arah presiden joko widodo perintah tambang ilegal bangka,2024-09-11,"Central Java, Indonesia",Positif
1570,jaksa agung geledah rumah harvey moeis kawasan pakubuwono jakarta selatan senin geledah kait duga korupsi tata niaga komoditas timah wilayah izin usaha tambang izin usaha tambang pt timah tbk sidik sita mobil,2024-04-02,,Positif
1571,duga korupsi keluarga mulyono,2024-09-14,,Negatif
1572,menteri desa bangun daerah tinggal transmigrasi abdul halim iskandar jarang muncul publik orang prestasi eh muncul berita geledah rumah ada duga korupsi selenggara dana hibah anggar dapat dan belanja daerah jawa,2024-09-11,Indonesia,Positif
1573,komisi berantas korupsi usut duga korupsi dana csr bi ojk,2024-09-13,"Jakarta, Indonesia",Positif
1574,geger fufufafa jet pribadi dosen unj bongkar duga korupsi anakanak jokowi,2024-09-15,Indonesia,Positif
1575,debu jalan becek duga korupsi bayang pon xxi acehsumut,2024-09-16,Indonesia,Negatif
1576,menpora dito ariotedjo bantah duga korupsi pon xxi acehsumut,2024-09-16,,Positif
1577,ubed buka bukti duga korupsi keluarga mulyono bukti serah komisi berantas korupsi proses tidak ya,2024-09-13,Jakarta Capital Region,Positif
1578,klarifikasi ketua ketua umum partai solidaritas indonesia psi kaesang pangarep sambang kantor dewan awas komisi berantas korupsi komisi berantas korupsi selasa duga gratifikasi terima putra bungsu presiden joko widodo,2024-09-17,,Negatif
1579,jaksa agung periksa bambang wibisono duga korupsi tppu duta palma,2024-09-18,"Bogor, Indonesia",Positif
1580,komisi berantas korupsi sidi kait duga korupsi bantu sosial presiden tangan covid wilayah jabodetabek korupsi sebab rugi negara rupiah miliar nilai angka,2024-06-28,,Positif
1581,teman kaesang usaha jet pribadi bisnis putra bungsu presiden joko widodo jokowi kaesang pangarep kantor komisi berantas korupsi komisi berantas korupsi selasa klarifikasi kait duga gratifikasi,2024-09-17,Indonesia,Positif
1582,tim jaksa komisi berantas korupsi komisi berantas korupsi panggil istri anak cucu mantan menteri tani syahrul yasin limpo syl saksi sidang duga peras terima gratifikasi senin,2024-05-27,,Negatif
1583,koalisi masyarakat sipil reformasi polisi lapor duga korupsi ada gas air mata anggar lingkung polisi republik indonesia lapor layang komisi berantas korupsi senin koordinator icw agus sunaryanto ada duga simpang,2024-09-02,,Positif
1584,kakak kandung cak imin geledah komisi berantas korupsi kait duga korupsi dana hibah provinsi jawa timur duga seret khofifah lihat khofifah kali seret kakak cak imin target serang panitia khusus haji,2024-09-11,Jakarta Capital Region,Positif
1585,ada duga korupsi konsumsi pon,2024-09-17,,Negatif
1586,jaksa hadir sopir pt stanindo inti perkasa pt sip sastra saksi duga korupsi kelola timah,2024-09-12,,Positif
1587,tantang prabowo periksa duga gratifikasi kaesang janji prabowo berantas korupsi omonomon,2024-09-11,,Negatif
1588,komisi berantas korupsi panggil sekretariat jenderal partai demokrasi indonesia juang hasto kristiyanto kait duga suap sangka harun mas kabag berita komisi berantas korupsi ali fikri panggil hasto pekan informasi detil komisi berantas korupsi,2024-06-05,,Positif
1589,komisi berantas korupsi bingung maju mundur jet pribadi anak presiden duga gratifikasi kaesang pangarep temu ujung komisi berantas korupsi kelit dnegan alas telusur libat,2024-09-08,Indonesia,Positif
1590,negara alami rugi akibat duga korupsi ada perangkat keras it telkom badan usaha milik negara janji erick tohir tak akan henti berantas korupsi bukti ada berita korupsi badan usaha milik negara salah indonesia juluk surga,2024-09-06,🇮🇩 Pancasila,Negatif
1591,saksi duga korupsi tata niaga komoditas timah pt timah tbk ali samsuri bilang perintah jokowi tandang bangka belitung,2024-09-12,,Positif
1592,gelar badan malak koruptor bantah saksi alir rupiah kait korupsi jalur kakak besitanglangsa jaksa hadir direktur pt dwifarita fajarkharisma muchamad hikmat saksi duga korupsi proyek bangun jalur,2024-09-13,"Central Java, Indonesia",Positif
1593,komisi berantas korupsi komisi berantas korupsi sila kaesang pangarep bobby nasution klarifikasi duga gratifikasi fasilitas jet pribadi situs web komisi berantas korupsi sempat pimpin sila klarifikasi,2024-09-08,,Positif
1594,ubedilah badrun buka bukti duga korupsi keluarga mulyono saksi lengkap youtube abraham samad speak up lupa subscribe komen like bagi,2024-09-12,Indonesia,Negatif
1595,hancur tang cak imin ketua sibuk cari salah orang anggota partai bangkit bangsa besar libat duga korupsi nu tindak marwahnya partai agama rusak,2024-09-12,Jamaica,Negatif
1596,kejar depok tinjau lapor sandi butar butar duga korupsi dinas damkar,2024-09-13,Jakarta,Negatif
1597,ubedilah badrun buka bukti duga korupsi keluarga mulyono gibran kaesang bobby,2024-09-14,,Negatif
1598,eks bupati batubara zahir sangka duga korupsi seleksi terima pegawai perintah janji kerja pppk kabupaten batubara sumatra utara tangkap tahan selasa tangkap zahir daftar komisi pemelihan umum batubara,2024-09-03,,Negatif
1599,wajah nya nama duga korupsi sang adik durian sang kakak dana hibah provinsi jawa timur beda nasib rumah kakak geledah komisi berantas korupsi rumah adik sarimin cengengesan,2024-09-12,twitter.com,Positif
1600,polisi republik indonesia usut duga korupsi pon xxi aceh sumatra utara,2024-09-13,Jakarta,Positif
1601,papua tahan sangka duga tindak pidana korupsi beri fasilitas kredit modal kerja konstruksi debitur nila rupiah miliar bank plat merah cabang enarotali,2024-09-16,Indonesia,Positif
1602,tugas damkar depok sandi butar butar lapor duga korupsi kejar depok dukung pegawai honorer damping kuasa hukum deolipa yumara sandi bawa bukti kait duga korupsi bukti dokumen file anakanak,2024-09-12,negeri bayangan ,Negatif
1603,sang adik muhaimin iskandar periksa komisi berantas korupsi silam duga korupsi sistem lindung tenaga kerja indonesia tenaga kerja indonesia negeri menteri tenaga kerja transmigrasi,2024-09-11,Sweet Home,Negatif
1604,aliansi mahasiswa jakarta desak komisi berantas korupsi periksa sunarto dugaa korupsi hakim agung nila miliar berita legkapnya,2024-09-14,"Jawa Tengah, Indonesia",Negatif
1605,aliansi mahasiswa jakarta desak komisi berantas korupsi usut duga korupsi hakim agung duga korupsi lingkung mahkamah agung cuat kali kait potong penyalahgunaan dana honorarium tangan perkara hhp hakim agung,2024-09-13,"Pulo Gadung, Indonesia",Positif
1606,proses hukum jalan transparan adil ada kebal hukum jabat lembaga negara komisi berantas korupsi periksa sunarto,2024-09-14,Rumah Pacar ,Negatif
1607,vonis penjara mantan ketua koni sumatra selatan hendri zainudin vonis penjara hendri bukti salah perkara duga tindak pidana korupsi cair deposito dana hibah ada barang jasa anggar simak thread,2024-09-11,,Positif
1608,menteri olahraga korsel duga korupsi asosiasi badminton,2024-09-12,Jakarta,Negatif
1609,lapor sangka komisi berantas korupsi terima lapor duga gratifikasi bobby nasution komisi berantas korupsi komisi berantas korupsi terima lapor masyarakat duga tindak pidana korupsi seret wali kota medan bobby nasution juru,2024-09-07,"Central Java, Indonesia",Positif
1610,januari lapor komisi berantas korupsi kutik libat anakanak mulyono erick duga korupsi bio fuel bio disel rupiah via ptw gruop saham kaesang saham gibran saham et anak nya saham milik,2024-09-17,"Central Java, Indonesia",Negatif
1611,ketua komisi berantas korupsi nawawi pomolango duga gratifikasi jet pribadi kaesang pangarep usut aparatur sipil negara selenggara negara kaesang anak presiden jokowi rujuk pasal ayat undangundang tindak pidana korupsi,2024-09-05,,Positif
1612,anggota dinas damkar depok lapor duga korupsi instasinya sandi butar butar anggota dinas madam bakar depok lapor duga korupsi instansi jaksa negeri depok senin damping kuasa hukum deolipa yumara sandi bawa,2024-09-09,,Positif
1613,aliansi mahasiswa jakarta desak komisi berantas korupsi periksa sunarto duga korupsi nila miliar moga cepat atas ya,2024-09-14,,Negatif
1614,tim negeri depok ajar lapor sandi butarbutar ihwal duga korupsi damkar,2024-09-09,Indonesia,Positif
1615,salah masyarakat mahasiswa desak komisi berantas korupsi periksa sunarto kait duga korupsi hakim agung nila puluh miliar ada mirip rugi negara ayo,2024-09-14,"Jakarta Selatan, DKI Jakarta",Positif
1616,dinas damkar depok lapor duga korupsi potensi rugi miliar rupiah,2024-09-09,Jakarta,Negatif
1617,kakak kandung jerat duga korupsi sebentar susul adik sarimin ayo giat endus ada selesai proses biar adik susul sarimin,2024-09-12,Indonesia,Negatif
1618,abdul halim iskandar mendes bangun daerah tinggal dan transmigrasi rumah geledah komisi berantas korupsi jumat september geledah kait duga korupsi dana hibah anggar dapat dan belanja daerah jawa timur diam hanyut,2024-09-11,Indonesia,Negatif
1619,jaksa agung jaksa agung tetap suami aktris sandra dewi harvey moeis sangka duga tindak pidana korupsi tata niaga komoditas timah wilayah izin usaha tambang izin usaha tambang pt timah tbk baca,2024-03-27,Jakarta,Positif
1620,saksi episode ungkap duga korupsi alat damkar depok senin september waktu indonesia bagi barat,2024-09-16,Indonesia,Positif
1621,polisi daerah sulawesi tenggara selidik duga korupsi proyek gerbang kendaritoronipa,2024-09-14,Indonesia,Positif
1622,cuat korupsi kali kait potong penyalahgunaan dana honorarium tangan perkara hakim agung aliansi mahasiswa desak komisi berantas korupsi periksa sunarto rugi negara,2024-09-14,,Positif
1623,duga korupsi csr bi ojk usut komisi berantas korupsi,2024-09-14,Indonesia,Positif
1624,saksi periksa kejat duga korupsi dana npci jabar,2024-09-14,Jakarta,Positif
1625,komisi berantas korupsi komisi berantas korupsi geledah rumah diam menteri desa bangun daerah tinggal transmigrasi bangun daerah tinggal dan transmigrasi abdul halim iskandar jumat geledah kait sidi duga korupsi urus dana hibah kelompok,2024-09-11,"Pulo Gadung, Indonesia",Negatif
1626,wajar mahasiswa masyarakat desak komisi berantas korupsi periksa sunarto kait duga korupsi hakim agung nila miliar rupiah yuk komisi berantas korupsi,2024-09-14,DIHATIMU,Positif
1627,petrus selestinus koordinator tpdi izin usaha tambang nama kahyang guna jet pribadi kaisang duga korupsi tindak lanjut komisi berantas korupsi periksa anak presiden jokowi turun jokowi adil gibran lantik,2024-09-10,,Positif
1628,aye baca berita cing buka suara duga korupsi libat asdp normatif ada spesial aye harap periksa cing erto biar terang benderang,2024-09-11,"Tangerang, Indonesia",Negatif
1629,geger fufufafa jet pribadi dosen unj bongkar duga korupsi anakanak jokowi lapor aman komisi berantas korupsi berani,2024-09-15,Indonesia,Negatif
1630,garong negara rajalela menteri agama libat duga korupsi dana haji,2024-09-09,,Negatif
1631,aliansi mahasiswa jakarta desak komisi berantas korupsi periksa sunarto kait duga korupsi bau nila milyar,2024-09-14,"Makassar, Indonesia",Negatif
1632,gerbang toronipa kandang ayam habis rupiah miliar polisi usut duga korupsi,2024-09-13,Jakarta,Positif
1633,sandi butar butar pegawai damkar kota depok lapor duga korupsi kerja jaksa negeri depok ada korupsi otot ungkap duga korupsi saksi malam waktu indonesia bagi barat,2024-09-16,Indonesia,Positif
1634,sandi butar butar pegawai damkar kota depok lapor duga korupsi kerja jaksa negeri depok ada korupsi otot ungkap duga korupsi saksi malam waktu indonesia bagi barat,2024-09-16,Indonesia,Positif
1635,sandi butar butar pegawai damkar kota depok lapor duga korupsi kerja jaksa negeri depok ada korupsi otot ungkap duga korupsi saksi,2024-09-16,Indonesia,Positif
1636,info hembus kakak sangka rumah menteri desa abdul halim iskandar geledah komisi berantas korupsi kait duga suap anggar dapat dan belanja daerah jawa timur komisi berantas korupsi komisi berantas korupsi geledah salah rumah dinas menteri desa bangun daerah,2024-09-11,"Central Java, Indonesia",Negatif
1637,komisi berantas korupsi periksa tan heng lok telusur milik aset duga korupsi pt telkom,2024-09-15,Indonesia,Positif
1638,crazy rich surabaya budi said jalan sidang lanjut duga korupsi jual beli emas antam,2024-09-17,Indonesia,Negatif
1639,satu tugas awas selenggara pon xxi acehsumut polisi republik indonesia usut duga korupsi,2024-09-15,Indonesia,Positif
1640,duga korupsi pt taspen komisi berantas korupsi periksa saksi salah satu acara,2024-09-15,Indonesia,Positif
1641,pantas saja partai bangkit bangsa getol sekali usik laksana haji cari arang laksana haji jalan tutup duga korupsi libat kakak sarimin ciduk korupsi kardus durian,2024-09-11,,Negatif
1642,komisi berantas korupsi geledah rumah mendes abdul halim iskandar sita uang tunai kait duga korupsi dana hibah perintah provinsi jawa timur,2024-09-12,Jakarta Capital Region,Positif
1643,moga omonomon komisi berantas korupsi komisi berantas korupsi angkat bicara kait edar foto wali kota medan bobby nasution jet pribadi komisi berantas korupsi sebut kumpul data kait duga gratifikasi peristiwa,2024-09-07,"Cengkareng, Indonesia",Positif
1644,sandi butar butar lapor dinas damkar depok duga korupsi kejar,2024-09-09,Jakarta,Positif
1645,cakap nih data bukti aparat tegak hukum lanjut duga korupsi beras bansos pasar djaya dengar kemarin helat pilih umum mudah an ditindaklanjuti yehh,2024-09-13,ig. @tetapKurawa ,Negatif
1646,duga anggar tk awat alat alat rusak baik lapor terima jaksa layan padu pintu ptsp kejar depok sandi lapor ditindaklanjuti jaksa,2024-09-13,Dihati mu,Negatif
1647,mulyono berani door stop benar titip private jet pakai kaesang duga gratifikasi usaha markas singapura mulyono commit berantas korupsi menghalanghalangi komisi berantas korupsi,2024-09-02,"Cipayung, Indonesia",Positif
1648,sah suara menang nama konstitusi wajib lantik tanya lantik redam fufufafa duga korupsi andai bukti penuh syarat impeachment pasal ayat undang undang dasar,2024-09-12,IndonesiaRaya ,Negatif
1649,nya korupsi,2024-09-14,,Negatif
1650,damage akibat blunder erina gudono dahsyat banding blunder sambo kaesang gagal calon kepala daerah ya efek domino krusial terang duga skema gurita korupsi keluarga jokowi tinggal niatgak nih komisi berantas korupsi,2024-09-02,Bukan Penganut Agama Islam,Negatif
1651,duga terima uang korupsi pt timah muslim arbi jaksa agung periksa kaesang,2024-03-29,,Positif
1652,geledah rumah dinas menteri desa bangun daerah tinggal dan transmigrasi abdul halim iskandar lokasi jalan denpasar kuningan jakarta selatan abdul halim iskandar sidi duga korupsi dana hibah jawa timur,2024-09-12,Indonesia,Positif
1653,ada isu menteri uang sikap bungkam bursok tugas pajak berani bongkar duga korupsi sri mulyani data habis buzzerp private jet kaesang duga korupsi keluarga jokowi rezim bungkam isu,2024-09-02,Bukan Penganut Agama Islam,Negatif
1654,komisi berantas korupsi ayo selidik duga gratifikasi anak presiden petinggi komisi berantas korupsi sebut ada unsur gratifikasi fasilitas terima gibran rakabuming raka kaesang pangarep simak lengkap,2024-09-08,Indonesia,Positif
1655,bn sidang korupsi gani kasuba bn proses duga gratifikasi jet pribadi kp pingpong dir gratifikasi dir lplm duga gratifikasi jet pribadi bn proses dir gratifikasi beda,2024-09-07,,Positif
1656,duga korupsi ada gas air mata polisi republik indonesia polisi republik indonesia taksir capai rupiah miliar,2024-09-03,Jakarta,Positif
1657,aspek bangun stadion akses jalan makan atlet minimal sewajrnay pon selidik duga korupsi nya,2024-09-17,Muara Enim,Negatif
1658,ketua majelis hakim agung cium indikasi curiga sidang maming komisi berantas korupsi periksa sunarto aroma duga gratifikasi sengat,2024-09-14,"Jawa Barat, Indonesia",Positif
1659,yayasan lembaga bantu hukum indonesia takut ancam lapor duga korupsi ada gas air mata,2024-09-02,Indonesia,Negatif
1660,buntut fasilitas layak badan reserse kriminal usut duga korupsi pon xxi acehsumut,2024-09-12,Indonesia,Positif
1661,sandi butar butar tugas madam bakar damkar depok sorot publik lapor duga korupsi tempat sandi viral media sosial lihat rusa fasilitas damkar sebab tugas maksimal tugas,2024-09-16,Indonesia,Negatif
1662,muncul isu seleweng dana pon xxi menpora duga korupsi,2024-09-16,iNews Tower,Positif
1663,tokoh datang komisi berantas korupsi desak kaesang bobby gibran periksa rakyat butuh sikap konkret duga jahat korupsi bongkar cepat fakta nya bukti lantik gibran cegah,2024-09-07,DKI Jakarta - Indonesia,Negatif
1664,sekretaris dewan wakil rakyat daerah ngawi periksa kait duga korupsi dana hibah dinas didik,2024-09-09,Indonesia,Positif
1665,duga korupsi anggar pon menpora dito ariotedjo ada satu tugas sigap waspada,2024-09-14,Indonesia,Positif
1666,lapor komisioner komisi berantas korupsi panggil periksa geger fufufafa jet pribadi dosen unj bongkar duga korupsi anakanak jokowi lapor komisi berantas korupsi,2024-09-15,Jakarta - Yogya - Rotterdam,Positif
1667,duga korupsi pertamina energy sevices sidik komisi berantas korupsi laku analisis dokumen,2024-09-17,Indonesia,Positif
1668,indonesia bebas korupsi kepala negara libat korupsi jabat politikus kocok ulangrevolusi peduli sadar teman libat korupsi minggir,2024-09-13,,Negatif
